"filename", "language", "Markdown", "Makefile", "C++", "comment", "blank", "total"
"/home/pgomez-r/code/ft_irc/Makefile", "Makefile", 0, -28, 0, 0, -12, -40
"/home/pgomez-r/code/ft_irc/README.md", "Markdown", -31, 0, 0, 0, -13, -44
"/home/pgomez-r/code/ft_irc/docs/RFC1459.md", "Markdown", -122, 0, 0, 0, -15, -137
"/home/pgomez-r/code/ft_irc/docs/channel.md", "Markdown", -10, 0, 0, 0, -1, -11
"/home/pgomez-r/code/ft_irc/docs/desarrollo.md", "Markdown", -291, 0, 0, 0, -29, -320
"/home/pgomez-r/code/ft_irc/docs/estructura_proyecto.md", "Markdown", -43, 0, 0, 0, -12, -55
"/home/pgomez-r/code/ft_irc/docs/notes.md", "Markdown", -10, 0, 0, 0, 0, -10
"/home/pgomez-r/code/ft_irc/docs/subject_esp.md", "Markdown", -51, 0, 0, 0, -8, -59
"/home/pgomez-r/code/ft_irc/docs/teoria.md", "Markdown", -14, 0, 0, 0, -5, -19
"/home/pgomez-r/code/ft_irc/inc/Channel.hpp", "C++", 0, 0, -61, -4, -6, -71
"/home/pgomez-r/code/ft_irc/inc/Command.hpp", "C++", 0, 0, -59, -2, -6, -67
"/home/pgomez-r/code/ft_irc/inc/Server.hpp", "C++", 0, 0, -51, -4, -9, -64
"/home/pgomez-r/code/ft_irc/inc/User.hpp", "C++", 0, 0, -45, -2, -4, -51
"/home/pgomez-r/code/ft_irc/inc/ft_irc.hpp", "C++", 0, 0, -77, -2, -9, -88
"Total", "-", -572, -28, -293, -14, -129, -1036